Date,Open,Close,Volume,Percent Change
"Oct 18, 2022",12.22,12.03,"53,603,400",1.690617075
"Oct 17, 2022",11.98,11.83,"59,561,700",1.371036847
"Oct 14, 2022",11.8,11.67,"55,127,700",-0.849617672
"Oct 13, 2022",11.24,11.77,"70,487,400",1.993067591
"Oct 12, 2022",11.48,11.54,"59,628,500",-0.1730103806
"Oct 11, 2022",11.3,11.56,"75,173,200",1.76056338
"Oct 10, 2022",11.47,11.36,"115,548,900",-6.885245902
"Oct 07, 2022",12.18,12.2,"56,494,500",-1.294498382
"Oct 06, 2022",12.36,12.36,"64,531,900",-1.199040767
"Oct 05, 2022",12.38,12.51,"87,919,100",1.213592233
"Oct 04, 2022",11.96,12.36,"87,629,200",7.759372276
"Oct 03, 2022",11.38,11.47,"66,198,300",2.410714286
"Sep 30, 2022",11.39,11.2,"71,688,200",-2.35396687
"Sep 29, 2022",11.85,11.47,"84,534,900",-5.829228243
"Sep 28, 2022",11.91,12.18,"72,701,600",2.267002519
"Sep 27, 2022",12.21,11.91,"87,044,400",-0.6672226856
"Sep 26, 2022",12.21,11.99,"89,300,400",-2.599512591
"Sep 23, 2022",12.33,12.31,"104,043,700",-3.602192639
"Sep 22, 2022",13.12,12.77,"82,004,400",-2.14559387
"Sep 21, 2022",13.24,13.05,"94,271,600",-0.3055767762
"Sep 20, 2022",14.09,13.09,"196,340,000",-12.3241795
"Sep 19, 2022",14.5,14.93,"48,696,200",1.426630435
"Sep 16, 2022",14.62,14.72,"68,454,800",-1.141705843
"Sep 15, 2022",14.69,14.89,"61,377,000",1.568894952
"Sep 14, 2022",14.76,14.66,"59,571,800",-0.5427408412
"Sep 13, 2022",15,14.74,"80,842,500",-5.148005148
"Sep 12, 2022",15.55,15.54,"52,656,500",0.7782101167
"Sep 09, 2022",15.6,15.42,"63,328,600",-0.3232062056
"Sep 08, 2022",15.16,15.47,"60,075,900",0.259235256
"Sep 07, 2022",14.91,15.43,"55,087,200",2.661343979
"Sep 06, 2022",15.22,15.03,"58,676,700",-0.8575197889
"Sep 02, 2022",15.53,15.16,"64,565,400",-0.1974983542
"Sep 01, 2022",15.1,15.19,"65,299,800",-0.3280839895
"Aug 31, 2022",15.52,15.24,"52,058,200",-1.359223301
"Aug 30, 2022",15.7,15.45,"66,034,400",-0.7707129094
"Aug 29, 2022",15.2,15.57,"50,416,500",1.038286827
"Aug 26, 2022",16.01,15.41,"54,517,300",-3.26428123
"Aug 25, 2022",15.6,15.93,"56,401,300",2.641752577
"Aug 24, 2022",15.32,15.52,"39,508,700",1.305483029
"Aug 23, 2022",15.09,15.32,"51,289,000",1.591511936
"Aug 22, 2022",15.08,15.08,"71,321,800",-5.037783375
"Aug 19, 2022",15.95,15.88,"48,597,200",-1.671826625
"Aug 18, 2022",15.99,16.15,"39,414,200",0.7485963818
"Aug 17, 2022",16.16,16.03,"57,118,300",-2.434570907
"Aug 16, 2022",16.3,16.43,"54,028,900",0.6740196078
"Aug 15, 2022",16,16.32,"51,779,600",0.8652657602
"Aug 12, 2022",15.95,16.18,"53,182,500",2.210991788
"Aug 11, 2022",15.8,15.83,"61,567,000",2.129032258
"Aug 10, 2022",15.47,15.5,"71,607,000",2.040816327
"Aug 09, 2022",15.66,15.19,"67,676,800",-3.738910013
